p_mois,p_vol,p_ash,p_car,p_sul,u_nit
14.23,32.67,34.09,19.01,4.03,1.31
14.24,33.685,32.635,19.44,3.882,1.395
13.805,32.8,34.345,19.05,3.733,1.362
13.435,32.68,35.205,18.68,3.806,1.377
14.335,32.23,35.125,18.31,3.438,1.336
14.115,31.54,34.435,19.91,3.462,1.335
14.81,31.67,35.35,18.17,3.712,1.258
18.625,31.57,31.47,18.335,3.53,1.238
18.025,32.125,31.485,18.365,3.82,1.206
17.22,31.9,30.97,19.91,3.495,1.308
16.465,33.18,29.79,20.565,3.52,1.332
16.01,30.635,37.685,15.67,3.275,1.221
16.54,31.72,32.51,19.23,3.465,1.26
16.335,32.405,31.65,19.61,3.415,1.306
18.465,30.73,33.12,17.685,3.488,1.243
18.19,31.725,31.705,18.38,3.488,1.298
18.68,31.43,31.305,18.585,3.468,1.336
19.035,30.36,32.92,17.685,3.802,1.135
14.7,32.285,33.715,19.3,3.662,1.373
14.15,32.775,32.31,20.765,3.711,1.418
13.985,33.02,33.25,19.745,3.813,1.395
16.225,30.93,34.45,18.395,3.345,1.361
16.34,31.72,33.665,18.275,3.33,1.338
14.79,32.015,37.395,15.8,3.35,1.244
17.455,33.22,30.175,19.15,3.965,1.218
17.775,31.92,30.6,19.705,3.705,1.312
16.905,33.03,34.275,15.79,3.816,1.161
17.57,32.42,30.27,19.74,3.564,1.312
18.5,31.46,31.445,18.595,3.416,1.302
14.895,32.475,33.265,19.365,3.473,1.31
14.165,30.375,37.49,17.97,3.765,1.137
18.43,31.535,30.785,19.25,3.454,1.276
18.27,31.425,26.84,23.465,3.29,1.57
17.38,30.765,31.28,20.575,3.425,1.49
19.635,30.91,28.385,21.07,3.235,1.52
19.345,31.57,27.19,21.895,3.045,1.64
17.595,31.845,33.2,17.36,3.37,1.216
15.84,30.885,33.34,19.935,3.34,1.237
15.585,30.985,34.525,18.905,3.526,1.252
17.165,32.845,34.905,15.085,3.917,1.135
16.85,32.7,31.21,19.24,3.473,1.272
16.045,31.145,35.495,17.315,3.496,1.242
13.72,32.99,34.19,19.1,3.827,1.33
14.15,33.195,34.85,17.805,3.937,1.247
16.35,32.2,32.155,19.295,3.744,1.32
15.32,33.165,31.535,19.98,3.604,1.292
13.18,29.405,41.735,15.68,3.531,1.101
13.075,32.415,38.505,16.005,4.111,1.114
13.53,30.14,36.12,20.21,3.673,1.296
13.17,30.025,36.43,20.375,3.611,1.292
13.315,31.225,38.435,17.025,3.698,1.207
12.67,32.365,36.21,18.755,3.699,1.266
12.005,32.96,37.025,18.01,3.907,1.266
13.29,32.67,35.675,18.365,3.991,1.283
14.005,34.355,35.18,16.46,3.908,1.18
14.1,32.225,35.95,17.725,3.67,1.224
15.115,29.675,39.005,16.205,3.501,1.133
14.425,31.475,37.165,16.935,3.571,1.184
14.73,31.915,34.73,18.625,3.489,1.219
12.335,34.485,35.645,17.535,4.146,1.185
11.74,33.08,34.6,20.58,3.755,1.348
14.55,32.935,30.545,21.97,3.894,1.372
12.345,34.69,34.625,18.34,4.027,1.319
12.27,32.32,38.98,16.43,3.792,1.323
14.33,31.335,36.695,17.64,3.86,1.22
13.525,33.02,36.02,17.435,4.094,1.167
13.805,33.585,33.545,19.065,3.844,1.296
13.62,34.49,31.035,20.855,3.959,1.235
16.725,29.34,36.35,17.585,3.659,1.182
16.695,31.145,35.24,16.92,4.222,1.129
16.035,30.965,34.075,18.925,3.641,1.263
14.53,31.1,35.68,18.69,3.52,1.248
12.615,34.28,30.795,22.31,3.94,1.41
12.175,33.735,34.325,19.765,3.885,1.373
11.44,32.12,38.995,17.445,4.549,1.242
10.26,34.625,35.925,19.19,3.976,1.411
10.225,34.325,36.165,19.285,3.925,1.41
11.55,30.705,38.875,18.87,4.144,1.207
12.37,32.925,36.565,18.14,3.724,1.296
12.885,32.715,36.545,17.855,3.745,1.322
13.835,35,27.9,23.265,3.364,1.49
14.52,35.53,29.435,20.515,3.74,1.4
13.685,36.515,27.575,22.225,3.7,1.48
12.895,37.065,30.615,19.425,3.695,1.39
15.81,33.045,32.63,18.515,4.541,1.343
15.27,32.42,33.11,19.2,3.531,1.416
16.32,32.895,30.71,20.075,3.646,1.468
11.165,34.505,34.87,19.46,4.652,1.32
11.19,34.165,33.725,20.92,3.694,1.424
12.07,34.275,32.3,21.355,3.609,1.444
13.47,34.08,34.375,18.075,4.085,1.26
